Tue Aug  5 14:17:00 PDT 2025
activating
starting vanilla cp
Using cpu device
Epoch [0/200], Train Loss: 0.2010 | Test Loss: 0.2090 | LR: [0.002482884780966882]| Epoch Time: 2.570845603942871 s
Recon: 0.1627 | dx: 0.0382 | dz: 0.0001 | 
Epoch [1/200], Train Loss: 0.1969 | Test Loss: 0.2192 | LR: [0.002482884780966882]| Epoch Time: 1.643052577972412 s
Recon: 0.1594 | dx: 0.0373 | dz: 0.0001 | 
Epoch [2/200], Train Loss: 0.1950 | Test Loss: 0.2265 | LR: [0.002482884780966882]| Epoch Time: 1.382859706878662 s
Recon: 0.1578 | dx: 0.0371 | dz: 0.0001 | 
Epoch [3/200], Train Loss: 0.1931 | Test Loss: 0.2326 | LR: [0.002482884780966882]| Epoch Time: 1.2281467914581299 s
Recon: 0.1563 | dx: 0.0366 | dz: 0.0001 | 
Epoch [4/200], Train Loss: 0.1917 | Test Loss: 0.2413 | LR: [0.002482884780966882]| Epoch Time: 1.260742425918579 s
Recon: 0.1552 | dx: 0.0364 | dz: 0.0001 | 
Epoch [5/200], Train Loss: 0.1905 | Test Loss: 0.2434 | LR: [0.002482884780966882]| Epoch Time: 1.2762887477874756 s
Recon: 0.1542 | dx: 0.0362 | dz: 0.0001 | 
Epoch [6/200], Train Loss: 0.1894 | Test Loss: 0.2522 | LR: [0.002482884780966882]| Epoch Time: 1.2677226066589355 s
Recon: 0.1533 | dx: 0.0360 | dz: 0.0001 | 
Epoch [7/200], Train Loss: 0.1881 | Test Loss: 0.2509 | LR: [0.002482884780966882]| Epoch Time: 1.2810239791870117 s
Recon: 0.1522 | dx: 0.0358 | dz: 0.0001 | 
Epoch [8/200], Train Loss: 0.1869 | Test Loss: 0.2559 | LR: [0.002482884780966882]| Epoch Time: 1.2802765369415283 s
Recon: 0.1513 | dx: 0.0356 | dz: 0.0001 | 
Epoch [9/200], Train Loss: 0.1858 | Test Loss: 0.2618 | LR: [0.002482884780966882]| Epoch Time: 1.2783644199371338 s
Recon: 0.1503 | dx: 0.0353 | dz: 0.0001 | 
Epoch [10/200], Train Loss: 0.1850 | Test Loss: 0.2616 | LR: [0.002482884780966882]| Epoch Time: 1.2899377346038818 s
Recon: 0.1497 | dx: 0.0352 | dz: 0.0001 | 
Epoch [11/200], Train Loss: 0.1838 | Test Loss: 0.2647 | LR: [0.0002482884780966882]| Epoch Time: 1.4155807495117188 s
Recon: 0.1488 | dx: 0.0349 | dz: 0.0001 | 
Epoch [12/200], Train Loss: 0.1806 | Test Loss: 0.2644 | LR: [0.0002482884780966882]| Epoch Time: 1.3333826065063477 s
Recon: 0.1464 | dx: 0.0341 | dz: 0.0001 | 
Epoch [13/200], Train Loss: 0.1802 | Test Loss: 0.2642 | LR: [0.0002482884780966882]| Epoch Time: 1.3190467357635498 s
Recon: 0.1461 | dx: 0.0340 | dz: 0.0001 | 
Epoch [14/200], Train Loss: 0.1802 | Test Loss: 0.2648 | LR: [0.0002482884780966882]| Epoch Time: 1.3130161762237549 s
Recon: 0.1461 | dx: 0.0340 | dz: 0.0001 | 
Epoch [15/200], Train Loss: 0.1799 | Test Loss: 0.2655 | LR: [0.0002482884780966882]| Epoch Time: 1.3202731609344482 s
Recon: 0.1459 | dx: 0.0339 | dz: 0.0001 | 
Epoch [16/200], Train Loss: 0.1798 | Test Loss: 0.2648 | LR: [0.0002482884780966882]| Epoch Time: 1.3150358200073242 s
Recon: 0.1458 | dx: 0.0339 | dz: 0.0001 | 
Epoch [17/200], Train Loss: 0.1798 | Test Loss: 0.2669 | LR: [0.0002482884780966882]| Epoch Time: 1.3177599906921387 s
Recon: 0.1458 | dx: 0.0339 | dz: 0.0001 | 
Epoch [18/200], Train Loss: 0.1796 | Test Loss: 0.2671 | LR: [0.0002482884780966882]| Epoch Time: 1.3205859661102295 s
Recon: 0.1456 | dx: 0.0339 | dz: 0.0001 | 
Epoch [19/200], Train Loss: 0.1795 | Test Loss: 0.2674 | LR: [0.0002482884780966882]| Epoch Time: 1.4149248600006104 s
Recon: 0.1456 | dx: 0.0339 | dz: 0.0001 | 
Epoch [20/200], Train Loss: 0.1795 | Test Loss: 0.2675 | LR: [0.0002482884780966882]| Epoch Time: 1.3226914405822754 s
Recon: 0.1455 | dx: 0.0339 | dz: 0.0001 | 
Epoch [21/200], Train Loss: 0.1794 | Test Loss: 0.2682 | LR: [0.0002482884780966882]| Epoch Time: 1.323239803314209 s
Recon: 0.1455 | dx: 0.0338 | dz: 0.0001 | 
Epoch [22/200], Train Loss: 0.1793 | Test Loss: 0.2685 | LR: [2.4828847809668823e-05]| Epoch Time: 1.3088691234588623 s
Recon: 0.1454 | dx: 0.0338 | dz: 0.0001 | 
Epoch [23/200], Train Loss: 0.1789 | Test Loss: 0.2687 | LR: [2.4828847809668823e-05]| Epoch Time: 1.3119211196899414 s
Recon: 0.1451 | dx: 0.0337 | dz: 0.0001 | 
Epoch [24/200], Train Loss: 0.1789 | Test Loss: 0.2687 | LR: [2.4828847809668823e-05]| Epoch Time: 1.3081083297729492 s
Recon: 0.1451 | dx: 0.0337 | dz: 0.0001 | 
Epoch [25/200], Train Loss: 0.1787 | Test Loss: 0.2687 | LR: [2.4828847809668823e-05]| Epoch Time: 1.3133370876312256 s
Recon: 0.1449 | dx: 0.0337 | dz: 0.0001 | 
Epoch [26/200], Train Loss: 0.1788 | Test Loss: 0.2688 | LR: [2.4828847809668823e-05]| Epoch Time: 1.3146424293518066 s
Recon: 0.1450 | dx: 0.0337 | dz: 0.0001 | 
Epoch [27/200], Train Loss: 0.1788 | Test Loss: 0.2688 | LR: [2.4828847809668823e-05]| Epoch Time: 1.3162763118743896 s
Recon: 0.1450 | dx: 0.0337 | dz: 0.0001 | 
Epoch [28/200], Train Loss: 0.1788 | Test Loss: 0.2689 | LR: [2.4828847809668823e-05]| Epoch Time: 1.4101710319519043 s
Recon: 0.1450 | dx: 0.0337 | dz: 0.0001 | 
Epoch [29/200], Train Loss: 0.1787 | Test Loss: 0.2689 | LR: [2.4828847809668823e-05]| Epoch Time: 1.330176591873169 s
Recon: 0.1449 | dx: 0.0337 | dz: 0.0001 | 
Epoch [30/200], Train Loss: 0.1788 | Test Loss: 0.2690 | LR: [2.4828847809668823e-05]| Epoch Time: 1.3244612216949463 s
Recon: 0.1450 | dx: 0.0337 | dz: 0.0001 | 
Epoch [31/200], Train Loss: 0.1787 | Test Loss: 0.2692 | LR: [2.4828847809668823e-05]| Epoch Time: 1.3208436965942383 s
Recon: 0.1449 | dx: 0.0337 | dz: 0.0001 | 
Epoch [32/200], Train Loss: 0.1786 | Test Loss: 0.2691 | LR: [2.4828847809668823e-05]| Epoch Time: 1.3173723220825195 s
Recon: 0.1449 | dx: 0.0337 | dz: 0.0001 | 
Epoch [33/200], Train Loss: 0.1787 | Test Loss: 0.2692 | LR: [2.4828847809668824e-06]| Epoch Time: 1.3109116554260254 s
Recon: 0.1449 | dx: 0.0337 | dz: 0.0001 | 
Epoch [34/200], Train Loss: 0.1787 | Test Loss: 0.2692 | LR: [2.4828847809668824e-06]| Epoch Time: 1.3285729885101318 s
Recon: 0.1449 | dx: 0.0337 | dz: 0.0001 | 
Epoch [35/200], Train Loss: 0.1787 | Test Loss: 0.2692 | LR: [2.4828847809668824e-06]| Epoch Time: 1.3218011856079102 s
Recon: 0.1449 | dx: 0.0337 | dz: 0.0001 | 
Epoch [36/200], Train Loss: 0.1786 | Test Loss: 0.2692 | LR: [2.4828847809668824e-06]| Epoch Time: 1.4121215343475342 s
Recon: 0.1448 | dx: 0.0337 | dz: 0.0001 | 
Epoch [37/200], Train Loss: 0.1787 | Test Loss: 0.2692 | LR: [2.4828847809668824e-06]| Epoch Time: 1.3286254405975342 s
Recon: 0.1449 | dx: 0.0337 | dz: 0.0001 | 
Epoch [38/200], Train Loss: 0.1786 | Test Loss: 0.2692 | LR: [2.4828847809668824e-06]| Epoch Time: 1.3091638088226318 s
Recon: 0.1448 | dx: 0.0337 | dz: 0.0001 | 
Epoch [39/200], Train Loss: 0.1786 | Test Loss: 0.2692 | LR: [2.4828847809668824e-06]| Epoch Time: 1.3111863136291504 s
Recon: 0.1448 | dx: 0.0337 | dz: 0.0001 | 
Epoch [40/200], Train Loss: 0.1786 | Test Loss: 0.2692 | LR: [2.4828847809668824e-06]| Epoch Time: 1.3137214183807373 s
Recon: 0.1449 | dx: 0.0337 | dz: 0.0001 | 
Epoch [41/200], Train Loss: 0.1787 | Test Loss: 0.2692 | LR: [2.4828847809668824e-06]| Epoch Time: 1.3212482929229736 s
Recon: 0.1449 | dx: 0.0337 | dz: 0.0001 | 
Epoch [42/200], Train Loss: 0.1787 | Test Loss: 0.2692 | LR: [2.4828847809668824e-06]| Epoch Time: 1.3150994777679443 s
Recon: 0.1449 | dx: 0.0337 | dz: 0.0001 | 
Epoch [43/200], Train Loss: 0.1786 | Test Loss: 0.2692 | LR: [2.4828847809668824e-06]| Epoch Time: 1.3124334812164307 s
Recon: 0.1449 | dx: 0.0337 | dz: 0.0001 | 
Epoch [44/200], Train Loss: 0.1787 | Test Loss: 0.2692 | LR: [2.482884780966883e-07]| Epoch Time: 1.3119239807128906 s
Recon: 0.1449 | dx: 0.0337 | dz: 0.0001 | 
Epoch [45/200], Train Loss: 0.1786 | Test Loss: 0.2692 | LR: [2.482884780966883e-07]| Epoch Time: 1.3128514289855957 s
Recon: 0.1448 | dx: 0.0337 | dz: 0.0001 | 
Epoch [46/200], Train Loss: 0.1787 | Test Loss: 0.2692 | LR: [2.482884780966883e-07]| Epoch Time: 1.4112191200256348 s
Recon: 0.1449 | dx: 0.0337 | dz: 0.0001 | 
Epoch [47/200], Train Loss: 0.1787 | Test Loss: 0.2692 | LR: [2.482884780966883e-07]| Epoch Time: 1.318023920059204 s
Recon: 0.1449 | dx: 0.0337 | dz: 0.0001 | 
Epoch [48/200], Train Loss: 0.1786 | Test Loss: 0.2692 | LR: [2.482884780966883e-07]| Epoch Time: 1.316807508468628 s
Recon: 0.1448 | dx: 0.0337 | dz: 0.0001 | 
Epoch [49/200], Train Loss: 0.1786 | Test Loss: 0.2692 | LR: [2.482884780966883e-07]| Epoch Time: 1.3179576396942139 s
Recon: 0.1449 | dx: 0.0337 | dz: 0.0001 | 
Epoch [50/200], Train Loss: 0.1787 | Test Loss: 0.2692 | LR: [2.482884780966883e-07]| Epoch Time: 1.316098928451538 s
Recon: 0.1449 | dx: 0.0337 | dz: 0.0001 | 
Training stopped early.
Predicting the training data.
Predicting the testing data.
Running vanilla conformal predictions.
starting split cp, train-validation-test split: 50-30-20
Using cpu device
Epoch [0/200], Train Loss: 0.1984 | Test Loss: 0.2167 | LR: [0.002482884780966882]| Epoch Time: 1.4598314762115479 s
Recon: 0.1605 | dx: 0.0377 | dz: 0.0001 | 
Epoch [1/200], Train Loss: 0.1918 | Test Loss: 0.2318 | LR: [0.002482884780966882]| Epoch Time: 1.3580188751220703 s
Recon: 0.1553 | dx: 0.0364 | dz: 0.0001 | 
Epoch [2/200], Train Loss: 0.1889 | Test Loss: 0.2415 | LR: [0.002482884780966882]| Epoch Time: 1.1523752212524414 s
Recon: 0.1528 | dx: 0.0359 | dz: 0.0001 | 
Epoch [3/200], Train Loss: 0.1863 | Test Loss: 0.2521 | LR: [0.002482884780966882]| Epoch Time: 0.9415731430053711 s
Recon: 0.1508 | dx: 0.0354 | dz: 0.0001 | 
Epoch [4/200], Train Loss: 0.1847 | Test Loss: 0.2637 | LR: [0.002482884780966882]| Epoch Time: 0.8936755657196045 s
Recon: 0.1494 | dx: 0.0351 | dz: 0.0001 | 
