Tue Aug  5 14:17:59 PDT 2025
activating
starting vanilla cp
Using cpu device
lambda: 1.0, 12403.473406490746, 124.03473406490747
Epoch [0/200], Train Loss: 0.1569 | Test Loss: 0.1713 | LR: [0.00314227212817401]| Epoch Time: 2.0665478706359863 s
Recon: 0.1553 | dx: 0.0011 | dz: 0.0006 | 
Epoch [1/200], Train Loss: 0.1540 | Test Loss: 0.1780 | LR: [0.00314227212817401]| Epoch Time: 1.7037076950073242 s
Recon: 0.1523 | dx: 0.0011 | dz: 0.0005 | 
Epoch [2/200], Train Loss: 0.1523 | Test Loss: 0.1830 | LR: [0.00314227212817401]| Epoch Time: 2.0247576236724854 s
Recon: 0.1507 | dx: 0.0011 | dz: 0.0005 | 
Epoch [3/200], Train Loss: 0.1511 | Test Loss: 0.1884 | LR: [0.00314227212817401]| Epoch Time: 1.938643217086792 s
Recon: 0.1495 | dx: 0.0011 | dz: 0.0005 | 
Epoch [4/200], Train Loss: 0.1500 | Test Loss: 0.1911 | LR: [0.00314227212817401]| Epoch Time: 1.9640305042266846 s
Recon: 0.1484 | dx: 0.0011 | dz: 0.0005 | 
Epoch [5/200], Train Loss: 0.1495 | Test Loss: 0.1952 | LR: [0.00314227212817401]| Epoch Time: 1.9446613788604736 s
Recon: 0.1479 | dx: 0.0011 | dz: 0.0005 | 
Epoch [6/200], Train Loss: 0.1486 | Test Loss: 0.1974 | LR: [0.00314227212817401]| Epoch Time: 1.9531171321868896 s
Recon: 0.1470 | dx: 0.0011 | dz: 0.0005 | 
Epoch [7/200], Train Loss: 0.1480 | Test Loss: 0.2033 | LR: [0.00314227212817401]| Epoch Time: 1.9455668926239014 s
Recon: 0.1464 | dx: 0.0011 | dz: 0.0005 | 
Epoch [8/200], Train Loss: 0.1470 | Test Loss: 0.2016 | LR: [0.00314227212817401]| Epoch Time: 1.951124668121338 s
Recon: 0.1454 | dx: 0.0011 | dz: 0.0005 | 
Epoch [9/200], Train Loss: 0.1461 | Test Loss: 0.2049 | LR: [0.00314227212817401]| Epoch Time: 2.091864585876465 s
Recon: 0.1445 | dx: 0.0011 | dz: 0.0005 | 
Epoch [10/200], Train Loss: 0.1460 | Test Loss: 0.2052 | LR: [0.00314227212817401]| Epoch Time: 2.0199835300445557 s
Recon: 0.1444 | dx: 0.0011 | dz: 0.0005 | 
Epoch [11/200], Train Loss: 0.1453 | Test Loss: 0.2072 | LR: [0.000314227212817401]| Epoch Time: 1.9812607765197754 s
Recon: 0.1438 | dx: 0.0011 | dz: 0.0005 | 
Epoch [12/200], Train Loss: 0.1425 | Test Loss: 0.2058 | LR: [0.000314227212817401]| Epoch Time: 1.9945487976074219 s
Recon: 0.1410 | dx: 0.0011 | dz: 0.0005 | 
Epoch [13/200], Train Loss: 0.1422 | Test Loss: 0.2067 | LR: [0.000314227212817401]| Epoch Time: 1.9856560230255127 s
Recon: 0.1407 | dx: 0.0011 | dz: 0.0005 | 
Epoch [14/200], Train Loss: 0.1421 | Test Loss: 0.2073 | LR: [0.000314227212817401]| Epoch Time: 1.9657456874847412 s
Recon: 0.1406 | dx: 0.0011 | dz: 0.0005 | 
Epoch [15/200], Train Loss: 0.1420 | Test Loss: 0.2067 | LR: [0.000314227212817401]| Epoch Time: 1.9648690223693848 s
Recon: 0.1405 | dx: 0.0011 | dz: 0.0005 | 
Epoch [16/200], Train Loss: 0.1419 | Test Loss: 0.2072 | LR: [0.000314227212817401]| Epoch Time: 1.9833500385284424 s
Recon: 0.1403 | dx: 0.0011 | dz: 0.0005 | 
Epoch [17/200], Train Loss: 0.1419 | Test Loss: 0.2073 | LR: [0.000314227212817401]| Epoch Time: 1.977674961090088 s
Recon: 0.1403 | dx: 0.0011 | dz: 0.0005 | 
Epoch [18/200], Train Loss: 0.1418 | Test Loss: 0.2080 | LR: [0.000314227212817401]| Epoch Time: 1.9731788635253906 s
Recon: 0.1403 | dx: 0.0011 | dz: 0.0005 | 
Epoch [19/200], Train Loss: 0.1418 | Test Loss: 0.2087 | LR: [0.000314227212817401]| Epoch Time: 2.086287260055542 s
Recon: 0.1403 | dx: 0.0011 | dz: 0.0005 | 
Epoch [20/200], Train Loss: 0.1417 | Test Loss: 0.2087 | LR: [0.000314227212817401]| Epoch Time: 2.011524200439453 s
Recon: 0.1401 | dx: 0.0011 | dz: 0.0005 | 
Epoch [21/200], Train Loss: 0.1416 | Test Loss: 0.2100 | LR: [0.000314227212817401]| Epoch Time: 1.9778544902801514 s
Recon: 0.1401 | dx: 0.0011 | dz: 0.0005 | 
Epoch [22/200], Train Loss: 0.1415 | Test Loss: 0.2091 | LR: [3.14227212817401e-05]| Epoch Time: 1.9713428020477295 s
Recon: 0.1400 | dx: 0.0011 | dz: 0.0005 | 
Epoch [23/200], Train Loss: 0.1412 | Test Loss: 0.2093 | LR: [3.14227212817401e-05]| Epoch Time: 1.9932074546813965 s
Recon: 0.1396 | dx: 0.0011 | dz: 0.0005 | 
Epoch [24/200], Train Loss: 0.1412 | Test Loss: 0.2095 | LR: [3.14227212817401e-05]| Epoch Time: 1.970841646194458 s
Recon: 0.1396 | dx: 0.0011 | dz: 0.0005 | 
Epoch [25/200], Train Loss: 0.1412 | Test Loss: 0.2096 | LR: [3.14227212817401e-05]| Epoch Time: 1.9666709899902344 s
Recon: 0.1396 | dx: 0.0011 | dz: 0.0005 | 
Epoch [26/200], Train Loss: 0.1412 | Test Loss: 0.2097 | LR: [3.14227212817401e-05]| Epoch Time: 2.004500389099121 s
Recon: 0.1396 | dx: 0.0011 | dz: 0.0005 | 
Epoch [27/200], Train Loss: 0.1412 | Test Loss: 0.2098 | LR: [3.14227212817401e-05]| Epoch Time: 1.9798343181610107 s
Recon: 0.1397 | dx: 0.0011 | dz: 0.0005 | 
Epoch [28/200], Train Loss: 0.1411 | Test Loss: 0.2099 | LR: [3.14227212817401e-05]| Epoch Time: 2.0855553150177 s
Recon: 0.1395 | dx: 0.0011 | dz: 0.0005 | 
Epoch [29/200], Train Loss: 0.1412 | Test Loss: 0.2098 | LR: [3.14227212817401e-05]| Epoch Time: 1.9801568984985352 s
Recon: 0.1396 | dx: 0.0011 | dz: 0.0005 | 
Epoch [30/200], Train Loss: 0.1411 | Test Loss: 0.2099 | LR: [3.14227212817401e-05]| Epoch Time: 1.965172290802002 s
Recon: 0.1396 | dx: 0.0011 | dz: 0.0005 | 
Epoch [31/200], Train Loss: 0.1412 | Test Loss: 0.2099 | LR: [3.14227212817401e-05]| Epoch Time: 1.9704246520996094 s
Recon: 0.1397 | dx: 0.0011 | dz: 0.0005 | 
Epoch [32/200], Train Loss: 0.1411 | Test Loss: 0.2100 | LR: [3.14227212817401e-05]| Epoch Time: 1.9847302436828613 s
Recon: 0.1396 | dx: 0.0011 | dz: 0.0005 | 
Epoch [33/200], Train Loss: 0.1411 | Test Loss: 0.2101 | LR: [3.1422721281740103e-06]| Epoch Time: 1.9799795150756836 s
Recon: 0.1396 | dx: 0.0011 | dz: 0.0005 | 
Epoch [34/200], Train Loss: 0.1411 | Test Loss: 0.2101 | LR: [3.1422721281740103e-06]| Epoch Time: 1.9824998378753662 s
Recon: 0.1396 | dx: 0.0011 | dz: 0.0005 | 
Epoch [35/200], Train Loss: 0.1411 | Test Loss: 0.2100 | LR: [3.1422721281740103e-06]| Epoch Time: 2.0943620204925537 s
Recon: 0.1395 | dx: 0.0011 | dz: 0.0005 | 
Epoch [36/200], Train Loss: 0.1411 | Test Loss: 0.2100 | LR: [3.1422721281740103e-06]| Epoch Time: 1.9873318672180176 s
Recon: 0.1396 | dx: 0.0011 | dz: 0.0005 | 
Epoch [37/200], Train Loss: 0.1411 | Test Loss: 0.2101 | LR: [3.1422721281740103e-06]| Epoch Time: 1.9810075759887695 s
Recon: 0.1395 | dx: 0.0011 | dz: 0.0005 | 
Epoch [38/200], Train Loss: 0.1410 | Test Loss: 0.2100 | LR: [3.1422721281740103e-06]| Epoch Time: 1.972790002822876 s
Recon: 0.1395 | dx: 0.0011 | dz: 0.0005 | 
Epoch [39/200], Train Loss: 0.1411 | Test Loss: 0.2100 | LR: [3.1422721281740103e-06]| Epoch Time: 2.005317211151123 s
Recon: 0.1395 | dx: 0.0011 | dz: 0.0005 | 
Epoch [40/200], Train Loss: 0.1411 | Test Loss: 0.2100 | LR: [3.1422721281740103e-06]| Epoch Time: 1.9857993125915527 s
Recon: 0.1396 | dx: 0.0011 | dz: 0.0005 | 
Epoch [41/200], Train Loss: 0.1410 | Test Loss: 0.2100 | LR: [3.1422721281740103e-06]| Epoch Time: 1.974755048751831 s
Recon: 0.1395 | dx: 0.0011 | dz: 0.0005 | 
Epoch [42/200], Train Loss: 0.1411 | Test Loss: 0.2100 | LR: [3.1422721281740103e-06]| Epoch Time: 2.0952212810516357 s
Recon: 0.1395 | dx: 0.0011 | dz: 0.0005 | 
Epoch [43/200], Train Loss: 0.1411 | Test Loss: 0.2100 | LR: [3.1422721281740103e-06]| Epoch Time: 1.9779748916625977 s
Recon: 0.1395 | dx: 0.0011 | dz: 0.0005 | 
Epoch [44/200], Train Loss: 0.1411 | Test Loss: 0.2100 | LR: [3.1422721281740106e-07]| Epoch Time: 1.9965732097625732 s
Recon: 0.1396 | dx: 0.0011 | dz: 0.0005 | 
Epoch [45/200], Train Loss: 0.1411 | Test Loss: 0.2100 | LR: [3.1422721281740106e-07]| Epoch Time: 1.985321283340454 s
Recon: 0.1396 | dx: 0.0011 | dz: 0.0005 | 
Epoch [46/200], Train Loss: 0.1411 | Test Loss: 0.2100 | LR: [3.1422721281740106e-07]| Epoch Time: 1.9978883266448975 s
Recon: 0.1395 | dx: 0.0011 | dz: 0.0005 | 
Epoch [47/200], Train Loss: 0.1411 | Test Loss: 0.2100 | LR: [3.1422721281740106e-07]| Epoch Time: 1.9968516826629639 s
Recon: 0.1396 | dx: 0.0011 | dz: 0.0005 | 
Epoch [48/200], Train Loss: 0.1411 | Test Loss: 0.2100 | LR: [3.1422721281740106e-07]| Epoch Time: 1.9738516807556152 s
Recon: 0.1396 | dx: 0.0011 | dz: 0.0005 | 
Epoch [49/200], Train Loss: 0.1410 | Test Loss: 0.2100 | LR: [3.1422721281740106e-07]| Epoch Time: 1.9711894989013672 s
Recon: 0.1395 | dx: 0.0011 | dz: 0.0005 | 
Epoch [50/200], Train Loss: 0.1411 | Test Loss: 0.2100 | LR: [3.1422721281740106e-07]| Epoch Time: 1.996246099472046 s
Recon: 0.1395 | dx: 0.0011 | dz: 0.0005 | 
Training stopped early.
Predicting the training data.
Predicting the testing data.
Running vanilla conformal predictions.
starting split cp, train-validation-test split: 50-30-20
Using cpu device
lambda: 1.0, 13268.312847287849, 132.68312847287848
Epoch [0/200], Train Loss: 0.1531 | Test Loss: 0.1698 | LR: [0.00314227212817401]| Epoch Time: 1.5417351722717285 s
Recon: 0.1514 | dx: 0.0011 | dz: 0.0006 | 
Epoch [1/200], Train Loss: 0.1474 | Test Loss: 0.1825 | LR: [0.00314227212817401]| Epoch Time: 1.1737687587738037 s
Recon: 0.1457 | dx: 0.0011 | dz: 0.0006 | 
Epoch [2/200], Train Loss: 0.1446 | Test Loss: 0.1917 | LR: [0.00314227212817401]| Epoch Time: 1.231858491897583 s
Recon: 0.1430 | dx: 0.0011 | dz: 0.0006 | 
Epoch [3/200], Train Loss: 0.1432 | Test Loss: 0.1980 | LR: [0.00314227212817401]| Epoch Time: 1.398660659790039 s
Recon: 0.1416 | dx: 0.0011 | dz: 0.0006 | 
Epoch [4/200], Train Loss: 0.1413 | Test Loss: 0.2093 | LR: [0.00314227212817401]| Epoch Time: 1.2240018844604492 s
Recon: 0.1397 | dx: 0.0011 | dz: 0.0006 | 
Epoch [5/200], Train Loss: 0.1401 | Test Loss: 0.2129 | LR: [0.00314227212817401]| Epoch Time: 1.2090644836425781 s
Recon: 0.1385 | dx: 0.0011 | dz: 0.0005 | 
Epoch [6/200], Train Loss: 0.1390 | Test Loss: 0.2170 | LR: [0.00314227212817401]| Epoch Time: 1.2092688083648682 s
Recon: 0.1374 | dx: 0.0011 | dz: 0.0005 | 
Epoch [7/200], Train Loss: 0.1380 | Test Loss: 0.2279 | LR: [0.00314227212817401]| Epoch Time: 1.1985735893249512 s
Recon: 0.1364 | dx: 0.0011 | dz: 0.0005 | 
Epoch [8/200], Train Loss: 0.1371 | Test Loss: 0.2252 | LR: [0.00314227212817401]| Epoch Time: 1.2211222648620605 s
