trial_number,value,state,duration,lr,batch_size,latent_dim,poly_order,lambda1_metaweight
0,2.0023142042191466e-06,COMPLETE,0:00:03.757858,3.7556369839814335e-06,162,4,3,1.1463758487911675
1,2.002322162297787e-06,COMPLETE,0:00:03.272859,0.009636249344239397,75,1,2,1.0379248482380135
2,1.998053448915016e-06,COMPLETE,0:00:02.653953,0.00017967874709579968,145,4,2,0.895068579269279
3,1.9081277052561443,PRUNED,0:00:05.764344,0.03248763006407765,72,4,3,1.1896385682246713
4,2.00040494746645e-06,COMPLETE,0:00:03.326293,0.00036787276050844516,187,4,3,0.9721460739352998
5,2.002313976845471e-06,COMPLETE,0:00:03.653293,0.07236759642886836,62,2,2,1.0414437420479126
6,11.050372098286946,PRUNED,0:00:06.105913,0.006640825050455001,20,4,2,1.4074996891792368
7,2.002321480176761e-06,COMPLETE,0:00:02.495335,1.90288450122213e-05,208,1,3,0.5374746185562181
8,2.0123829926887993e-06,COMPLETE,0:00:03.038792,5.4666052762709086e-05,58,2,2,0.7168918464110009
9,2.1137184858322144,PRUNED,0:00:01.085820,4.829568294735819e-06,61,4,2,1.3425902190609884
10,2.077491411795983,PRUNED,0:00:00.518400,6.35166657606974e-05,122,1,2,1.294745833276204
11,2.027646228119179,PRUNED,0:00:00.941827,6.385957561229076e-05,56,4,2,0.9874913455916462
12,10.95078444480896,PRUNED,0:00:00.079669,0.0006834170233153053,150,4,2,1.3885803439933444
13,2.1479380130767822,PRUNED,0:00:00.297804,0.00013485637921880017,222,1,3,1.4431668163762583
14,2.030525028705597,PRUNED,0:00:00.453029,0.00013734153621959618,249,2,3,0.7650057138017556
15,2.0544593009081753,PRUNED,0:00:00.583012,1.1616129893510242e-06,145,2,3,0.6491039443890968
16,2891.575936996937,PRUNED,0:00:00.110984,0.03023871979242189,78,2,2,0.6356966966209581
17,122.20223621527354,PRUNED,0:00:00.085935,0.0028374310208608027,256,3,3,0.798280930029166
18,1.7092983942703912,PRUNED,0:00:21.506127,0.0007065007900212521,5,3,3,0.851101807726323
19,2.000613903874182e-06,COMPLETE,0:00:24.016784,0.0005524488772276183,9,3,3,0.7909882739164471
20,11.39256411128574,PRUNED,0:00:00.095340,0.0008501774494329562,183,3,3,0.8690904724078323
21,20.955793816377135,PRUNED,0:00:00.663024,0.002663673692063273,11,3,3,0.9047587032975992
22,49.81116332962949,PRUNED,0:00:01.762559,0.0028207233973616746,4,3,3,1.185574106828852
23,108.26880097389221,PRUNED,0:00:00.097252,0.0028308730590187845,104,3,2,1.1942102526600193
24,2.158596316803596e-06,COMPLETE,0:00:23.643480,0.0004699768874668546,9,3,3,0.9154733269033268
25,2.0952884091271295,PRUNED,0:00:00.452585,1.8493874626288353e-05,185,4,3,1.1518455742424094
26,2.13394980771201,PRUNED,0:00:00.205440,0.00042284422303471875,109,4,2,0.9383358317393462
27,4.130396229880197,PRUNED,0:00:00.102223,0.00046741372381115095,111,4,2,0.8908062879975769
28,8199.604385351833,PRUNED,0:00:00.266331,0.06305959221896033,19,3,2,1.0545111006084245
29,1648.8958805584045,PRUNED,0:00:00.286072,0.04070554339949159,18,3,2,1.0489270905839019
30,4199.533245629575,PRUNED,0:00:00.294959,0.060550836752294786,18,3,2,1.0581409659792675
31,1161.9081994957394,PRUNED,0:00:00.061219,0.011642358093797366,178,2,2,1.0353252535126154
32,31.57050934433937,PRUNED,0:00:00.067279,0.001732742129595949,204,3,2,0.8116268651364865
33,493.4772968888283,PRUNED,0:00:00.087937,0.0074644804634727445,135,3,2,0.8444667313290636
34,275.30124777013606,PRUNED,0:00:00.069987,0.007264161208224453,137,2,2,0.9571714279716532
35,1297.4457335710526,PRUNED,0:00:00.074258,0.012919092117774523,162,2,2,0.980128619514744
36,755.2931275844574,PRUNED,0:00:00.088724,0.009589014801281158,161,2,2,0.9756024879107941
37,2.1301095843315125,PRUNED,0:00:00.338927,1.0797371196611768e-05,165,2,3,1.1175358008930332
38,2.1036736965179443,PRUNED,0:00:00.465817,1.0961727639161184e-06,165,4,3,1.1027805147204617
39,2.1220268964767457,PRUNED,0:00:00.270523,1.0720140671468338e-06,163,4,3,1.1378403672233417
40,2.1218077294966755,PRUNED,0:00:00.403532,1.1816974930326222e-06,91,4,3,1.1563886001802623
41,2.1190521478652955,PRUNED,0:00:00.290610,1.477604384360728e-06,163,4,3,1.12631497785543
42,2.1086058616638184,PRUNED,0:00:00.382648,8.018945270876561e-06,200,4,3,1.107442072530517
43,2.126619093120098,PRUNED,0:00:00.394404,3.774066363639768e-06,94,4,3,1.2296241221842106
44,2.127287170466255,PRUNED,0:00:00.415221,3.957659215153115e-06,92,4,3,1.265856957823961
45,2.185971736907959,PRUNED,0:00:00.240186,3.32692848267699e-06,203,4,3,1.287965322877805
46,2.1266894936561584,PRUNED,0:00:00.181722,3.342521327863813e-06,202,1,3,1.249406697468886
47,2.1402479433163535e-06,COMPLETE,0:00:07.247226,0.00015407415136799404,42,4,3,1.2525616193976319
48,1.9633466516222273,PRUNED,0:00:00.697388,0.00016003129219005987,225,1,3,0.5060817644998862
49,1.9985646179744176,PRUNED,0:00:00.560335,2.3167173685842307e-05,232,1,3,0.5052770517201512
50,1.9884933373507332,PRUNED,0:00:01.656341,3.455337717121847e-05,45,1,3,0.7062233786636435
51,2.011371442249843,PRUNED,0:00:00.444799,3.198751637970036e-05,229,1,3,0.5809578322490039
52,2.037315653069527e-06,COMPLETE,0:00:02.019156,0.00018034412455438645,125,1,3,0.7308995524096442
53,2.009427527586619,PRUNED,0:00:00.588502,8.513602660839978e-05,125,1,3,0.727687431079212
54,2.5039413202376593,PRUNED,0:00:00.174489,0.00021125835951218882,36,1,3,1.348108700157584
55,2.005537043015162,PRUNED,0:00:00.575534,8.89674197040938e-05,124,1,3,0.7030976819561472
56,2.160420149564743,PRUNED,0:00:00.112535,4.010525545700603e-05,193,4,2,1.484106147827055
57,2.0325088262557984,PRUNED,0:00:00.407224,1.176262093855245e-05,149,3,3,0.6962588705922943
58,11.542379025490053,PRUNED,0:00:00.136945,0.0012910750191190493,49,1,2,1.0091140469613136
